leg	bead_id	status
api	hq-rvo6	dispatched
data	hq-s6nm	dispatched
ux	hq-pv9m	dispatched
scale	hq-sr48	dispatched
security	hq-wwn4	dispatched
integration	hq-yceh	dispatched
