leg	bead_id	status	review_phase
requirements	hq-q9unh	closed	prd
gaps	hq-r5c0g	closed	prd
ambiguity	hq-rw7qt	closed	prd
feasibility	hq-yo8dt	closed	prd
scope	hq-s3kg3	closed	prd
stakeholders	hq-iv9iv	closed	prd
